,new_urns,author,title,year,gender,url,dhlabid
0,URN:NBN:no-nb_digibok_2009050412001,Amalie Skram,Forrådt,1892,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009050412001,100617961
1,URN:NBN:no-nb_digibok_2016012008009,Ragnhild Jølsen,Rikka Gan,1904,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2016012008009,100624933
2,URN:NBN:no-nb_digibok_2009102110002,Sigrid Undset,Jenny,1911,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009102110002,100391159
3,URN:NBN:no-nb_digibok_2011062206060,Barbra Ring,Kredsen,1921,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2011062206060,100544351
4,URN:NBN:no-nb_digibok_2009020500078,Cora Sandel,Alberte og Jacob,1926,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020500078,100447246
5,URN:NBN:no-nb_digibok_2013070308014,Gisken Wildenvey,Andrine,1929,fem,https://www.nb.no/items/f560d48acfb94fc6a3ee6743042ba275,100152581
6,URN:NBN:no-nb_digibok_2006122000001,Sigrid Boo,Du deilige liv,1933,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2006122000001,100465514
7,URN:NBN:no-nb_digibok_2007010500055,Nini Roll Anker,Den som henger i en tråd,1935,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007010500055,100465993
8,URN:NBN:no-nb_digibok_2017080107014,Ebba Haslund,Siste halvår,1946,fem,https://www.nb.no/items/3c5c14fbbcbf1656e78e19dfc131a8ae?page=0&searchText=,100342481
9,URN:NBN:no-nb_digibok_2013081508112,Torborg Nedreaas,Musikk fra blå brønn,1947,fem,https://www.nb.no/items/6775da6796692ed7ffc3e48265992b4b?page=9&searchText=,100167899
10,URN:NBN:no-nb_digibok_2007022201066,Solveig Christov,Syv dager og netter,1955,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007022201066,100459766
11,URN:NBN:no-nb_digibok_2007052204051,Vera Henriksen,Sølvhammeren,1961,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007052204051,100520671
12,URN:NBN:no-nb_digibok_2007050901044,Vigdis Stokkelien,Den siste prøven,1968,fem,https://www.nb.no/items/e1f083b64aefa3370755a5fb254a1d17?page=0&searchText=,100018529
13,URN:NBN:no-nb_digibok_2013110405036,Ragnhild Magerøy,Kvassere enn sverdet,1974,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2013110405036,100177288
14,URN:NBN:no-nb_digibok_2012071806104,Sissel Lange-Nielsen,Korstog,1978,fem,https://www.nb.no/items/aba4c807e532c459fdd9eaf799f7d811?page=0&searchText=,100102172
15,URN:NBN:no-nb_digibok_2017062107116,Bergljot Hobæk Haff,Bålet,1979,fem,https://www.nb.no/items/fef186ebb7094e737c53017493b9494b?page=0&searchText=,100338755
16,URN:NBN:no-nb_digibok_2012121207088,Ragnhild Nilstun,Etterbyrden,1979,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2012121207088,100128697
17,URN:NBN:no-nb_digibok_2007062500003,Gerd Brantenberg,Sangen om St. Croix,1979,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007062500003,100525928
18,URN:NBN:no-nb_digibok_2013100305077,Karin Bang,Jutøy. Jag etter vind,1981,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2013100305077,100172146
19,URN:NBN:no-nb_digibok_2014021006050,Anne Karin Elstad,"Senere, Lena",1982,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2014021006050,100190584
20,URN:NBN:no-nb_digibok_2012092108103,Kim Småge,Nattdykk,1983,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2012092108103,100109721
21,URN:NBN:no-nb_digibok_2014072206091,Mari Osmundsen,Gode gjerninger,1984,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2014072206091,100220914
22,URN:NBN:no-nb_digibok_2013120906098,Mona Lyngar,Gris,1985,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2013120906098,100182653
23,URN:NBN:no-nb_digibok_2013091905096,Line Baugstø,Reise i gult lys,1986,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2013091905096,100168504
24,URN:NBN:no-nb_digibok_2014062406080,Elin Brodin,Maskedans,1987,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2014062406080,100213650
25,URN:NBN:no-nb_digibok_2014070105038,Bjørg Vik,"Små nøkler, store rom",1988,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2014070105038,100215517
26,URN:NBN:no-nb_digibok_2007111301014,Tove Nilsen,Chaplins hemmelighet,1989,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007111301014,100477893
27,URN:NBN:no-nb_digibok_2007111900104,Anne Holt,Blind gudinne,1993,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2007111900104,100501422
28,URN:NBN:no-nb_digibok_2008011004009,Karin Sveen,Maria Waters verden,1993,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2008011004009,100569078
29,URN:NBN:no-nb_digibok_2008081300045,Liv Køltzow,Verden forsvinner,1997,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2008081300045,100031394
30,URN:NBN:no-nb_digibok_2010031003089,Hanne Ørstavik,Kjærlighet,1997,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2010031003089,100464664
31,URN:NBN:no-nb_digibok_2008071500122,Sissel Lie,Svart due,1997,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2008071500122,100031205
32,URN:NBN:no-nb_digibok_2009030904099,Britt Karin Larsen,De usynliges by,1998,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009030904099,100522534
33,URN:NBN:no-nb_digibok_2010061408075,Trude Marstein,"Sterk sult, plutselig kvalme",1998,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2010061408075,100007054
34,URN:NBN:no-nb_digibok_2008082704119,Unni Lindell,Drømmefangeren,1999,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2008082704119,100423854
35,URN:NBN:no-nb_digibok_2008090504072,Toril Brekke,Aske,1999,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2008090504072,100563732
36,URN:NBN:no-nb_digibok_2009012704074,Merete Morken Andersen,Hav av tid,2002,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009012704074,100402043
37,URN:NBN:no-nb_digibok_2009032600055,Linn Ullmann,Nåde,2002,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009032600055,100504232
38,URN:NBN:no-nb_digibok_2011060106103,Kari Bøge,Lins bok,2002,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2011060106103,100543047
39,URN:NBN:no-nb_digibok_2011062905008,Karin Fossum,Natt til fjerde november,2003,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2011062905008,100545459
40,URN:NBN:no-nb_digibok_2009021704009,Marianne Mjaaland,Unaturlig dødsfall meldes,2003,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2009021704009,100464012
41,URN:NBN:no-nb_digibok_2011033008104,Anne B. Ragde,Berlinerpoplene,2004,fem,https://urn.nb.no/URN:NBN:no-nb_digibok_2011033008104,100536901
42,URN:NBN:no-nb_digibok_2013013006106,Herbjørg Wassmo,Et glass melk takk,2006,fem,https://www.nb.no/items/204eaaffc3be6bcf0c3595ea5b833441?page=0&searchText=,100133787
