,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
2,100414362,URN:NBN:no-nb_digibok_2020081107148,Dukkeføreren,"Gaarder , Jostein",oai:nb.bibsys.no:999919832661002202,bb2c1e0327d3a359dd7dc95f38de1eda,,Oslo,20160101,2016,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jostein,male
3,100392734,URN:NBN:no-nb_digibok_2019052007037,Lengsel,"Hegstad , Inger Harriet",oai:nb.bibsys.no:991020921094702202,bbbee32008b5529a24afa16418ffce71,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Inger,female
4,100347458,URN:NBN:no-nb_digibok_2017092648257,Clay Allison : blondinen og seksløperen,,oai:nb.bibsys.no:991510751314702202,ef142ef71e29e6c3b20dc2b32812a563,8272530805,Oslo,19800101,1980,Jaer forl.,nob,, 839.93,fiction,Skjønnlitteratur,digibok,nb,20060101,,unknown
5,100560889,URN:NBN:no-nb_digibok_2009062300020,Risk : hørespill,"Grøndahl , Christopher Friis-Baastad",oai:nb.bibsys.no:990400880304702202,bfc71a5d18d7664c02411e52bd1bf255,8256013931,Oslo,20030101,2003,Solum,nob,hørespill / drama / skuespill / norsk / prosa,839.822,fiction,Skjønnlitteratur,digibok,nb,20060101,Christopher,male
6,100392981,URN:NBN:no-nb_digibok_2019082977022,Ø,"Nærum , Knut",oai:nb.bibsys.no:991013411644702202,b24a15886da0a8e9ebba2a58961ff238,,[Oslo],20100101,2010,Cappelen Damm,nob,,839.828,fiction,Skjønnlitteratur,digibok,nb,20060101,Knut,male
15,100415397,URN:NBN:no-nb_digibok_2020081807231,Beskyldningen,"Midtsund , Aud",oai:nb.bibsys.no:999919863395502202,9b353db3464b0d106568e4590f42e408,,[Oslo],20160101,2016,Bladkompaniet,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Aud,female
17,100160408,URN:NBN:no-nb_digibok_2013072408155,Malteser-triangelen : roman,"Heed , Kristina",oai:nb.bibsys.no:991119580754702202,041ea9cf853ecc76a578d3cdd1d4a677,,Bodø,20110101,2011,Licentia forl.,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Kristina,female
19,100559879,URN:NBN:no-nb_digibok_2009060904021,Savnet på sjøen,"Steinslett , Kjellaug",oai:nb.bibsys.no:999815476724702202,c60626acf415ebb6d048ee65047824b3,8250939549,Oslo,19980101,1998,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Kjellaug,female
20,100386541,URN:NBN:no-nb_digibok_2018072307115,Fra Hurumlandet til Køgebukt,"Ekeberg , Fred",oai:nb.bibsys.no:991434018074702202,ee3280ce0387d56de80b331390399666,,Bodø,20140101,2014,Licentia forl.,nob,huitfeldt / slekten / slektshistorie / røyken / hurum,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Fred,male
21,100374857,URN:NBN:no-nb_digibok_2018053148123,Slekters gang,"Mysen , Jane",oai:nb.bibsys.no:990936167324702202,4af4ac3a53cb1c854e03d7a43b9d94b5,,[Oslo],20090101,2009,Cappelen Damm,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Jane,female
22,100545816,URN:NBN:no-nb_digibok_2011062206080,Tesman : roman,"Bjørnstad , Ketil",oai:nb.bibsys.no:990314830894702202,a2599b716a98c712b11f19c810d45f3f,8203187048,Oslo,20030101,2003,Aschehoug,nob,Grief / Suicide / Bereavement / norsk / prosa / skjønnlitteratur / romaner / selvmord / etterlatte / sorg / sjølvmord / 2000-tallet,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Ketil,male
